CustomerKey,Quantity_sum,Quantity_count,Quantity_mean
45250,5,1,5.0
45436,6,4,1.5
45781,1,1,1.0
45814,8,3,2.6666666666666665
46155,2,1,2.0
46917,8,2,4.0
46996,3,1,3.0
47518,10,3,3.3333333333333335
48383,6,2,3.0
48466,49,14,3.5
48733,23,5,4.6
49400,20,5,4.0
49606,2,1,2.0
49776,13,6,2.1666666666666665
49950,10,3,3.3333333333333335
50075,5,4,1.25
50681,2,1,2.0
50741,2,1,2.0
51172,4,3,1.3333333333333333
51314,48,10,4.8
51718,11,2,5.5
52536,5,2,2.5
52694,8,2,4.0
53318,6,2,3.0
53920,19,5,3.8
54089,16,5,3.2
54161,2,2,1.0
54752,2,1,2.0
54987,11,2,5.5
55039,12,4,3.0
55066,11,4,2.75
55084,3,2,1.5
55411,18,5,3.6
55914,10,3,3.3333333333333335
56791,5,2,2.5
56834,1,1,1.0
56999,14,4,3.5
57307,7,3,2.3333333333333335
57374,6,1,6.0
58066,10,4,2.5
58710,4,3,1.3333333333333333
58919,4,2,2.0
59159,31,11,2.8181818181818183
59304,14,3,4.666666666666667
59422,9,5,1.8
59529,8,3,2.6666666666666665
59842,13,2,6.5
59961,8,2,4.0
60150,17,4,4.25
60407,7,3,2.3333333333333335
60411,19,5,3.8
60454,4,2,2.0
60722,13,3,4.333333333333333
60892,13,2,6.5
61718,22,9,2.4444444444444446
61773,13,5,2.6
61881,15,6,2.5
61947,8,3,2.6666666666666665
62017,3,1,3.0
62076,4,1,4.0
62125,5,1,5.0
62163,16,5,3.2
62416,8,2,4.0
62590,4,1,4.0
63342,17,4,4.25
63681,15,4,3.75
64037,1,1,1.0
64511,15,3,5.0
64764,15,4,3.75
64842,11,3,3.6666666666666665
65163,5,2,2.5
65180,16,3,5.333333333333333
65269,46,16,2.875
65283,19,9,2.111111111111111
65372,24,8,3.0
65507,2,2,1.0
66352,1,1,1.0
67066,29,6,4.833333333333333
67157,24,10,2.4
67217,22,6,3.6666666666666665
67369,13,4,3.25
67455,13,3,4.333333333333333
67744,1,1,1.0
68082,6,4,1.5
68537,12,3,4.0
68882,3,1,3.0
69066,3,2,1.5
69557,7,5,1.4
69645,1,1,1.0
69707,10,7,1.4285714285714286
69754,1,1,1.0
69812,12,3,4.0
69959,12,6,2.0
70453,16,9,1.7777777777777777
70544,3,1,3.0
70584,15,2,7.5
70598,5,2,2.5
70912,51,15,3.4
71218,28,6,4.666666666666667
71220,3,2,1.5
71282,11,4,2.75
71333,38,7,5.428571428571429
71343,4,2,2.0
71511,19,8,2.375
71625,15,7,2.142857142857143
72003,21,5,4.2
72194,5,2,2.5
72812,26,11,2.3636363636363638
72826,2,2,1.0
73070,18,7,2.5714285714285716
73636,2,1,2.0
73704,4,2,2.0
74071,34,7,4.857142857142857
74581,6,1,6.0
74585,15,6,2.5
74687,6,2,3.0
74845,15,5,3.0
74871,4,1,4.0
75555,40,9,4.444444444444445
75706,27,8,3.375
75965,20,9,2.2222222222222223
75976,12,4,3.0
75991,7,3,2.3333333333333335
76013,10,4,2.5
76021,25,10,2.5
76149,3,1,3.0
76499,8,1,8.0
76560,35,10,3.5
76714,19,8,2.375
76891,8,3,2.6666666666666665
76979,5,1,5.0
77150,11,2,5.5
77290,3,2,1.5
77534,33,7,4.714285714285714
78097,6,4,1.5
78428,18,10,1.8
78578,4,3,1.3333333333333333
78616,8,1,8.0
79131,11,3,3.6666666666666665
79191,24,6,4.0
79245,10,4,2.5
80029,2,1,2.0
80128,4,1,4.0
80155,10,2,5.0
80172,32,8,4.0
80273,11,7,1.5714285714285714
80598,2,1,2.0
81018,31,8,3.875
81720,20,5,4.0
82415,18,6,3.0
82533,4,2,2.0
82644,11,5,2.2
83643,4,3,1.3333333333333333
83651,9,4,2.25
83690,2,1,2.0
83705,4,2,2.0
83985,10,4,2.5
84085,11,3,3.6666666666666665
85080,4,2,2.0
85124,1,1,1.0
85265,17,4,4.25
85430,3,2,1.5
85597,24,6,4.0
85609,6,4,1.5
85804,5,2,2.5
85861,5,2,2.5
85974,36,12,3.0
86036,18,4,4.5
86126,9,4,2.25
86267,4,2,2.0
86465,4,2,2.0
86472,12,4,3.0
86475,18,5,3.6
87229,1,1,1.0
87690,11,2,5.5
87891,11,3,3.6666666666666665
88047,8,1,8.0
88785,10,3,3.3333333333333335
88791,8,1,8.0
88897,19,5,3.8
89416,3,1,3.0
89721,14,4,3.5
89946,16,4,4.0
90037,9,2,4.5
90079,8,4,2.0
90316,21,8,2.625
90893,10,5,2.0
91218,5,1,5.0
91545,3,1,3.0
91756,7,1,7.0
91913,13,4,3.25
91918,7,2,3.5
92275,8,2,4.0
92311,5,2,2.5
92920,15,4,3.75
93314,37,12,3.0833333333333335
93339,24,7,3.4285714285714284
93389,3,2,1.5
93788,3,2,1.5
94554,17,4,4.25
94758,26,5,5.2
95043,9,4,2.25
95275,10,3,3.3333333333333335
96331,18,7,2.5714285714285716
96631,1,1,1.0
97219,1,1,1.0
97228,6,3,2.0
97611,49,9,5.444444444444445
98002,24,7,3.4285714285714284
98185,5,1,5.0
98583,17,7,2.4285714285714284
99189,4,1,4.0
99711,18,5,3.6
99810,22,7,3.142857142857143
99988,24,6,4.0
100040,9,3,3.0
100092,40,12,3.3333333333333335
100361,1,1,1.0
100386,13,4,3.25
101064,9,3,3.0
101100,25,7,3.5714285714285716
102466,5,3,1.6666666666666667
102503,21,6,3.5
102817,3,3,1.0
104456,18,6,3.0
104748,13,4,3.25
105107,2,1,2.0
105126,8,2,4.0
105417,12,4,3.0
105595,9,2,4.5
105647,47,15,3.1333333333333333
106039,2,1,2.0
106880,27,5,5.4
107299,20,3,6.666666666666667
108022,5,2,2.5
108311,25,8,3.125
109148,7,3,2.3333333333333335
109580,15,4,3.75
109977,3,2,1.5
111207,14,3,4.666666666666667
111492,13,5,2.6
111568,9,2,4.5
112287,2,1,2.0
112762,10,4,2.5
113121,16,3,5.333333333333333
113244,29,9,3.2222222222222223
113290,4,2,2.0
113294,13,4,3.25
113448,10,5,2.0
113481,9,4,2.25
113635,6,3,2.0
113833,4,2,2.0
114070,19,7,2.7142857142857144
114201,7,3,2.3333333333333335
114561,11,5,2.2
114916,11,6,1.8333333333333333
114949,19,5,3.8
115168,7,3,2.3333333333333335
115335,26,7,3.7142857142857144
115447,28,8,3.5
115452,7,4,1.75
115902,10,4,2.5
116149,19,6,3.1666666666666665
116524,15,6,2.5
116571,8,1,8.0
116824,5,2,2.5
117048,1,1,1.0
117386,2,1,2.0
117496,17,3,5.666666666666667
117995,3,1,3.0
118271,24,10,2.4
118451,4,2,2.0
118540,22,4,5.5
118829,24,8,3.0
118902,3,1,3.0
119085,11,3,3.6666666666666665
119365,19,6,3.1666666666666665
120398,1,1,1.0
120607,9,3,3.0
120802,10,3,3.3333333333333335
120952,2,1,2.0
121324,5,1,5.0
121376,15,3,5.0
121813,21,3,7.0
121958,20,5,4.0
122096,12,3,4.0
122511,4,2,2.0
122533,22,7,3.142857142857143
123266,14,5,2.8
123353,17,3,5.666666666666667
124444,3,1,3.0
124719,22,6,3.6666666666666665
124722,12,4,3.0
125008,6,1,6.0
125033,1,1,1.0
125236,22,8,2.75
125254,4,4,1.0
125391,7,3,2.3333333333333335
125649,4,2,2.0
125764,10,3,3.3333333333333335
125784,16,5,3.2
125873,3,2,1.5
125950,2,2,1.0
126083,41,10,4.1
126320,4,1,4.0
126573,10,4,2.5
126633,11,3,3.6666666666666665
126744,6,2,3.0
126838,20,3,6.666666666666667
126852,28,8,3.5
127015,45,13,3.4615384615384617
127146,2,1,2.0
127193,11,4,2.75
127239,7,4,1.75
127283,1,1,1.0
127417,23,5,4.6
127943,42,10,4.2
128179,4,3,1.3333333333333333
128305,35,10,3.5
129176,15,3,5.0
129318,7,2,3.5
129494,29,7,4.142857142857143
129540,11,2,5.5
129554,33,11,3.0
129581,16,4,4.0
129698,1,1,1.0
130214,22,4,5.5
130270,13,4,3.25
130585,7,1,7.0
130670,35,12,2.9166666666666665
130750,12,4,3.0
131067,5,3,1.6666666666666667
131758,8,3,2.6666666666666665
131976,26,5,5.2
132377,5,3,1.6666666666666667
132701,4,2,2.0
132774,8,5,1.6
133358,13,4,3.25
133458,16,6,2.6666666666666665
133761,17,6,2.8333333333333335
133787,20,7,2.857142857142857
133905,10,3,3.3333333333333335
133928,9,1,9.0
133956,7,1,7.0
133986,10,3,3.3333333333333335
134230,1,1,1.0
134281,9,3,3.0
135020,6,1,6.0
135374,3,2,1.5
135675,6,1,6.0
136055,1,1,1.0
136134,15,5,3.0
136284,29,9,3.2222222222222223
137865,1,1,1.0
137949,12,3,4.0
138242,36,8,4.5
138332,29,11,2.6363636363636362
138464,5,2,2.5
138735,18,7,2.5714285714285716
139224,4,2,2.0
139376,3,1,3.0
139411,2,1,2.0
139479,14,4,3.5
139742,1,1,1.0
139817,3,2,1.5
139856,35,6,5.833333333333333
139891,15,5,3.0
140004,4,2,2.0
140239,5,2,2.5
140389,1,1,1.0
140829,16,7,2.2857142857142856
140872,5,1,5.0
140911,1,1,1.0
140956,11,2,5.5
140972,21,7,3.0
141179,3,1,3.0
141238,14,4,3.5
141338,11,4,2.75
141696,4,3,1.3333333333333333
142086,8,3,2.6666666666666665
142282,14,5,2.8
142335,1,1,1.0
142837,33,10,3.3
143033,18,3,6.0
143206,4,2,2.0
143278,17,6,2.8333333333333335
143585,1,1,1.0
143972,20,5,4.0
144080,22,8,2.75
144273,11,4,2.75
144330,20,3,6.666666666666667
145085,20,5,4.0
145258,9,2,4.5
145342,7,3,2.3333333333333335
146194,25,9,2.7777777777777777
146534,2,1,2.0
147228,11,6,1.8333333333333333
147312,11,6,1.8333333333333333
147341,20,7,2.857142857142857
147413,25,6,4.166666666666667
148348,19,7,2.7142857142857144
148716,38,7,5.428571428571429
149123,6,1,6.0
149353,6,2,3.0
149478,7,2,3.5
149733,14,6,2.3333333333333335
149955,23,5,4.6
150762,8,3,2.6666666666666665
150770,4,1,4.0
151044,1,1,1.0
151076,9,4,2.25
151318,10,4,2.5
151326,12,3,4.0
151401,2,1,2.0
151499,42,11,3.8181818181818183
151589,5,2,2.5
151628,14,7,2.0
151851,4,1,4.0
151986,9,2,4.5
152009,15,3,5.0
152270,27,7,3.857142857142857
152342,18,4,4.5
152438,25,7,3.5714285714285716
152445,4,1,4.0
152908,5,1,5.0
154042,23,8,2.875
154163,2,1,2.0
154611,11,4,2.75
154891,6,4,1.5
154973,1,1,1.0
155350,14,6,2.3333333333333335
155388,8,2,4.0
155611,17,6,2.8333333333333335
155656,1,1,1.0
155797,15,5,3.0
156006,11,2,5.5
156070,6,2,3.0
156286,20,5,4.0
156399,4,2,2.0
156795,11,6,1.8333333333333333
156814,6,2,3.0
156902,2,1,2.0
157171,2,1,2.0
157872,37,9,4.111111111111111
158179,1,1,1.0
158191,2,1,2.0
158349,11,2,5.5
158951,4,3,1.3333333333333333
159123,10,5,2.0
159137,6,3,2.0
159242,12,6,2.0
159255,8,3,2.6666666666666665
159270,7,3,2.3333333333333335
159547,3,2,1.5
159816,2,2,1.0
160124,9,3,3.0
160533,22,3,7.333333333333333
160624,12,4,3.0
160804,7,3,2.3333333333333335
161038,8,2,4.0
161095,50,15,3.3333333333333335
161286,14,4,3.5
161493,4,2,2.0
161613,9,4,2.25
161742,5,3,1.6666666666666667
161879,22,6,3.6666666666666665
161962,8,1,8.0
162091,14,3,4.666666666666667
162181,6,1,6.0
162300,19,8,2.375
162355,2,1,2.0
162784,6,5,1.2
162905,3,2,1.5
163186,9,3,3.0
163416,2,1,2.0
163706,8,5,1.6
163849,10,6,1.6666666666666667
163999,10,4,2.5
164129,2,1,2.0
164579,2,1,2.0
165032,26,6,4.333333333333333
165336,3,1,3.0
165581,15,5,3.0
165611,2,1,2.0
165649,3,2,1.5
165801,2,1,2.0
166366,21,6,3.5
166456,10,3,3.3333333333333335
166599,15,5,3.0
166813,16,6,2.6666666666666665
166838,14,4,3.5
167115,8,4,2.0
167153,1,1,1.0
167214,20,4,5.0
167257,4,2,2.0
167382,14,4,3.5
167441,12,2,6.0
167444,14,3,4.666666666666667
167874,18,3,6.0
167962,4,1,4.0
168089,5,3,1.6666666666666667
168899,16,3,5.333333333333333
169067,6,4,1.5
169470,4,3,1.3333333333333333
169633,21,7,3.0
170077,9,4,2.25
170467,4,1,4.0
171030,2,1,2.0
171237,1,1,1.0
171253,16,5,3.2
172387,5,2,2.5
173245,6,3,2.0
174176,25,10,2.5
174622,13,2,6.5
174819,5,3,1.6666666666666667
175184,6,1,6.0
175282,9,2,4.5
175310,11,3,3.6666666666666665
175556,5,4,1.25
175741,2,2,1.0
176310,6,1,6.0
176531,2,1,2.0
176800,12,5,2.4
176813,7,5,1.4
177231,6,1,6.0
177687,15,4,3.75
177969,9,3,3.0
178133,5,2,2.5
178265,6,2,3.0
178302,22,5,4.4
178612,3,1,3.0
178780,22,8,2.75
179144,23,8,2.875
179278,15,3,5.0
179287,2,1,2.0
179431,7,3,2.3333333333333335
180348,2,1,2.0
180599,10,3,3.3333333333333335
180605,9,3,3.0
180678,14,5,2.8
180820,6,4,1.5
181317,7,1,7.0
181488,33,11,3.0
181622,1,1,1.0
181881,27,5,5.4
181892,4,1,4.0
182177,9,4,2.25
182186,13,6,2.1666666666666665
182208,13,4,3.25
183169,13,6,2.1666666666666665
183264,9,5,1.8
183354,6,2,3.0
183954,4,2,2.0
184327,3,2,1.5
185061,3,1,3.0
185180,33,10,3.3
185409,6,2,3.0
186136,7,3,2.3333333333333335
186193,3,1,3.0
186266,3,1,3.0
186798,12,3,4.0
186894,52,13,4.0
186985,7,3,2.3333333333333335
187301,7,3,2.3333333333333335
187349,15,3,5.0
187544,1,1,1.0
187653,28,8,3.5
187750,22,6,3.6666666666666665
188311,8,2,4.0
188404,19,5,3.8
188670,14,4,3.5
188712,4,2,2.0
189113,3,1,3.0
189414,12,4,3.0
189459,3,3,1.0
190347,6,1,6.0
190882,32,7,4.571428571428571
190919,20,5,4.0
190944,32,9,3.5555555555555554
191211,20,5,4.0
191711,14,4,3.5
192139,13,4,3.25
192200,26,7,3.7142857142857144
192425,22,6,3.6666666666666665
192428,16,4,4.0
192436,7,1,7.0
192466,5,3,1.6666666666666667
193216,3,1,3.0
193445,4,2,2.0
193458,16,2,8.0
193847,5,2,2.5
193929,7,3,2.3333333333333335
194226,13,5,2.6
194279,2,1,2.0
194359,12,6,2.0
194510,4,2,2.0
195521,15,5,3.0
195613,4,1,4.0
196161,8,1,8.0
196288,19,6,3.1666666666666665
196331,7,3,2.3333333333333335
196921,18,7,2.5714285714285716
197088,32,7,4.571428571428571
197192,11,3,3.6666666666666665
197212,20,4,5.0
197655,1,1,1.0
198128,13,4,3.25
198616,3,1,3.0
198627,1,1,1.0
198716,14,2,7.0
199120,20,6,3.3333333333333335
199288,7,2,3.5
200208,29,9,3.2222222222222223
200370,16,4,4.0
200727,18,7,2.5714285714285716
200765,3,1,3.0
200860,8,1,8.0
200903,1,1,1.0
200992,1,1,1.0
201299,38,11,3.4545454545454546
201664,32,9,3.5555555555555554
201709,2,2,1.0
201728,6,2,3.0
201865,26,7,3.7142857142857144
202220,14,5,2.8
202290,19,7,2.7142857142857144
202552,3,2,1.5
202626,6,2,3.0
203076,2,1,2.0
203191,25,8,3.125
203836,21,6,3.5
203916,8,2,4.0
204030,4,1,4.0
204136,55,10,5.5
204149,6,3,2.0
204488,4,2,2.0
204502,14,4,3.5
205077,43,11,3.909090909090909
205194,10,2,5.0
205333,32,9,3.5555555555555554
205476,28,9,3.111111111111111
205480,2,1,2.0
205510,7,4,1.75
205762,18,5,3.6
205862,9,5,1.8
205955,4,2,2.0
206055,1,1,1.0
206133,8,3,2.6666666666666665
206185,15,5,3.0
206407,7,1,7.0
206450,7,1,7.0
206717,2,1,2.0
207200,9,4,2.25
207476,14,4,3.5
207552,9,5,1.8
207775,7,1,7.0
207855,9,2,4.5
207996,4,1,4.0
208037,10,3,3.3333333333333335
208195,5,2,2.5
208556,6,2,3.0
208682,10,4,2.5
208720,11,3,3.6666666666666665
208825,5,4,1.25
208987,1,1,1.0
209171,16,7,2.2857142857142856
209360,8,2,4.0
209529,5,4,1.25
209628,7,1,7.0
209685,1,1,1.0
209872,7,2,3.5
209922,32,8,4.0
209990,33,7,4.714285714285714
210267,25,4,6.25
210310,20,5,4.0
210320,7,3,2.3333333333333335
210538,15,7,2.142857142857143
210689,7,3,2.3333333333333335
210936,3,2,1.5
211057,5,2,2.5
211067,8,3,2.6666666666666665
211214,7,2,3.5
211486,24,6,4.0
211740,14,9,1.5555555555555556
211746,26,11,2.3636363636363638
211809,20,10,2.0
211855,13,4,3.25
211862,10,1,10.0
211938,1,1,1.0
212119,9,2,4.5
212167,7,4,1.75
212281,17,7,2.4285714285714284
212385,9,6,1.5
212807,10,4,2.5
212881,12,5,2.4
213157,5,2,2.5
213183,3,1,3.0
213262,1,1,1.0
213636,3,3,1.0
213806,28,10,2.8
213985,13,6,2.1666666666666665
214969,9,4,2.25
215067,17,4,4.25
215139,18,6,3.0
215236,3,1,3.0
215351,9,2,4.5
215523,4,2,2.0
215600,14,5,2.8
215852,3,1,3.0
215878,15,7,2.142857142857143
215895,23,9,2.5555555555555554
215948,14,4,3.5
215955,2,1,2.0
216267,20,7,2.857142857142857
216372,13,4,3.25
216550,49,9,5.444444444444445
216812,5,2,2.5
217000,5,2,2.5
217020,5,2,2.5
217102,13,4,3.25
217405,9,3,3.0
217424,12,4,3.0
217762,10,6,1.6666666666666667
217859,4,1,4.0
217910,31,10,3.1
218278,8,3,2.6666666666666665
218298,28,6,4.666666666666667
218530,12,3,4.0
218565,1,1,1.0
218961,16,6,2.6666666666666665
219073,11,3,3.6666666666666665
219098,4,3,1.3333333333333333
219411,5,2,2.5
219561,1,1,1.0
219940,3,2,1.5
219959,21,11,1.9090909090909092
220034,7,3,2.3333333333333335
220324,10,2,5.0
220411,5,3,1.6666666666666667
220463,13,5,2.6
220519,40,10,4.0
220543,9,3,3.0
220612,4,4,1.0
220723,14,8,1.75
220755,11,4,2.75
220756,1,1,1.0
220775,2,1,2.0
220902,5,2,2.5
221062,10,4,2.5
221326,13,5,2.6
221410,20,9,2.2222222222222223
221602,10,2,5.0
221851,7,1,7.0
221924,2,1,2.0
222287,19,6,3.1666666666666665
222512,7,1,7.0
222617,6,2,3.0
222847,9,2,4.5
222999,5,2,2.5
223081,3,2,1.5
223142,6,1,6.0
223555,12,4,3.0
223761,39,15,2.6
223904,2,2,1.0
224035,24,11,2.1818181818181817
224111,69,24,2.875
224376,5,3,1.6666666666666667
224416,14,4,3.5
224418,11,4,2.75
224434,19,7,2.7142857142857144
224588,6,1,6.0
225285,2,2,1.0
225768,15,4,3.75
226013,18,5,3.6
226220,38,12,3.1666666666666665
226576,16,7,2.2857142857142856
226740,17,5,3.4
226833,33,9,3.6666666666666665
227116,5,4,1.25
227281,23,6,3.8333333333333335
227338,16,4,4.0
227416,4,1,4.0
227564,15,4,3.75
227565,14,5,2.8
227646,32,10,3.2
227654,3,1,3.0
227656,15,5,3.0
227898,25,10,2.5
227946,11,4,2.75
228402,15,6,2.5
228413,16,4,4.0
228792,11,5,2.2
228850,7,1,7.0
229084,3,1,3.0
229104,9,1,9.0
229251,6,3,2.0
229286,2,1,2.0
229582,21,8,2.625
229838,17,4,4.25
229939,5,3,1.6666666666666667
229949,25,8,3.125
230391,34,9,3.7777777777777777
230405,9,3,3.0
230521,8,3,2.6666666666666665
230598,4,3,1.3333333333333333
231898,16,4,4.0
231984,46,15,3.066666666666667
231997,7,3,2.3333333333333335
232195,1,1,1.0
232586,7,3,2.3333333333333335
232588,4,1,4.0
232740,6,2,3.0
232998,10,3,3.3333333333333335
233477,5,2,2.5
233565,14,3,4.666666666666667
233567,7,1,7.0
233698,20,7,2.857142857142857
233855,20,7,2.857142857142857
233904,32,6,5.333333333333333
234326,21,5,4.2
234648,22,5,4.4
234726,15,7,2.142857142857143
235050,5,2,2.5
235116,8,1,8.0
235133,27,7,3.857142857142857
235534,20,5,4.0
235730,3,1,3.0
235891,1,1,1.0
236161,12,4,3.0
236612,28,12,2.3333333333333335
236812,2,1,2.0
236863,2,2,1.0
237541,9,4,2.25
237557,20,6,3.3333333333333335
237725,22,6,3.6666666666666665
238065,18,5,3.6
238069,2,1,2.0
238385,3,1,3.0
238625,10,2,5.0
238678,27,7,3.857142857142857
239066,27,9,3.0
239126,37,11,3.3636363636363638
239134,19,6,3.1666666666666665
239187,8,3,2.6666666666666665
239297,2,1,2.0
239424,1,1,1.0
239502,13,4,3.25
239571,58,19,3.0526315789473686
239647,12,5,2.4
239991,23,6,3.8333333333333335
240017,4,1,4.0
240085,24,5,4.8
240328,21,4,5.25
240341,3,2,1.5
240347,11,4,2.75
240370,12,3,4.0
240527,21,7,3.0
240595,11,4,2.75
240609,3,1,3.0
240858,2,1,2.0
241006,39,12,3.25
241230,45,14,3.2142857142857144
241365,26,10,2.6
241436,13,4,3.25
241450,19,4,4.75
241513,24,6,4.0
241610,6,3,2.0
241760,24,6,4.0
241885,11,2,5.5
242098,20,8,2.5
242542,48,13,3.6923076923076925
242571,17,6,2.8333333333333335
242781,10,3,3.3333333333333335
242897,13,7,1.8571428571428572
242901,20,7,2.857142857142857
242920,4,1,4.0
243036,6,2,3.0
243209,3,2,1.5
243332,5,3,1.6666666666666667
243341,8,2,4.0
243543,15,7,2.142857142857143
243747,3,2,1.5
243799,11,3,3.6666666666666665
243917,12,3,4.0
244193,38,11,3.4545454545454546
244320,4,1,4.0
244323,8,1,8.0
244465,10,3,3.3333333333333335
244545,4,2,2.0
244921,21,7,3.0
244936,7,4,1.75
245017,10,1,10.0
245143,12,3,4.0
245649,3,1,3.0
245739,25,9,2.7777777777777777
245912,26,9,2.888888888888889
245936,1,1,1.0
246420,46,12,3.8333333333333335
246656,2,2,1.0
246888,28,7,4.0
247032,15,5,3.0
247129,59,19,3.1052631578947367
247132,29,8,3.625
247443,10,3,3.3333333333333335
247706,1,1,1.0
247866,24,7,3.4285714285714284
247966,42,13,3.230769230769231
247971,26,9,2.888888888888889
248178,5,3,1.6666666666666667
248406,13,5,2.6
248476,16,3,5.333333333333333
248555,11,6,1.8333333333333333
248607,13,6,2.1666666666666665
248677,14,5,2.8
248690,12,3,4.0
249261,15,5,3.0
249269,5,2,2.5
249320,5,3,1.6666666666666667
249397,11,3,3.6666666666666665
249578,17,4,4.25
249893,2,1,2.0
249956,4,2,2.0
250052,7,2,3.5
250176,19,6,3.1666666666666665
250194,3,1,3.0
250884,24,7,3.4285714285714284
250944,19,6,3.1666666666666665
250990,11,3,3.6666666666666665
251045,6,1,6.0
251069,7,1,7.0
251084,20,6,3.3333333333333335
251282,15,3,5.0
251587,8,3,2.6666666666666665
251670,8,2,4.0
252272,8,3,2.6666666666666665
252545,36,9,4.0
252769,2,2,1.0
253141,18,6,3.0
253233,2,2,1.0
253278,12,2,6.0
253505,42,13,3.230769230769231
253567,3,1,3.0
253632,15,5,3.0
253813,13,3,4.333333333333333
254142,9,3,3.0
254265,21,6,3.5
254402,8,3,2.6666666666666665
254407,19,7,2.7142857142857144
254540,23,10,2.3
254779,1,1,1.0
254795,6,3,2.0
254825,10,5,2.0
254861,5,3,1.6666666666666667
255295,2,1,2.0
255312,8,2,4.0
255479,3,2,1.5
255536,32,10,3.2
255723,19,6,3.1666666666666665
255882,22,6,3.6666666666666665
256114,6,1,6.0
256411,2,1,2.0
256475,21,8,2.625
256526,20,5,4.0
256531,12,3,4.0
256789,10,4,2.5
256837,3,1,3.0
257031,4,2,2.0
257471,6,3,2.0
257642,2,2,1.0
