Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,delivery_status,total_amount_usd
369002,1,2024-11-19,1900-01-01,258316,8,1656,1,CAD,Lost,159.99
369004,1,2025-02-14,2025-03-07,1389462,65,1961,5,USD,Delivered,1399.95
369005,1,2024-03-08,2024-03-17,1866637,56,183,3,USD,Delivered,327.0
369006,1,2024-08-04,2024-08-12,734605,28,654,1,EUR,Delivered,129.0
369007,1,2025-08-03,2025-08-04,571622,20,2510,3,EUR,Delivered,12.18
369011,1,2025-11-02,2025-11-07,1664824,0,1261,2,USD,Delivered,73.98
369012,1,2025-05-26,2025-06-22,1696695,0,1423,3,USD,Delivered,567.0
370000,1,2024-05-26,2024-06-18,2032025,51,1360,4,USD,Delivered,187.96
370001,1,2024-09-09,2024-10-08,1884908,61,1107,3,USD,Delivered,1074.0
370003,1,2024-09-26,2024-10-14,2092033,66,836,8,USD,Delivered,127.2
370004,1,2025-03-14,1900-01-01,1473090,43,1251,2,USD,In Transit,119.98
370005,1,2025-08-20,2025-08-30,584095,24,1610,2,EUR,Delivered,579.98
370006,1,2025-01-05,2025-02-02,661636,16,1272,6,EUR,Delivered,41.7
370007,1,2024-08-12,2024-09-09,623659,15,267,1,EUR,Delivered,329.0
370008,1,2025-06-05,2025-07-01,183264,4,2105,1,AUD,Delivered,1475.0
370010,1,2025-05-20,2025-05-29,1393738,48,1709,3,USD,Delivered,210.39
370011,1,2024-04-22,2024-05-12,1522590,47,32,2,USD,Delivered,510.0
370012,1,2024-06-05,2024-07-04,1780669,53,1585,3,USD,Delivered,68.67
370013,1,2024-06-12,2024-06-21,5097,6,5,2,AUD,Delivered,43.14
370014,1,2025-11-27,2025-12-24,1475886,51,1622,2,USD,Delivered,438.0
371000,1,2024-03-06,2024-03-31,728834,30,81,2,EUR,Delivered,81.1
371001,1,2025-01-29,2025-01-30,76021,2,77,3,AUD,Delivered,113.85
371002,1,2025-06-25,2025-07-09,1955971,53,80,4,USD,Delivered,162.2
371003,1,2025-07-20,2025-08-06,778259,28,1074,6,EUR,Delivered,1872.0
371004,1,2024-09-30,2024-10-29,1378439,0,1305,8,USD,Delivered,544.0
371005,1,2025-10-18,2025-11-08,1923558,48,58,1,USD,Delivered,156.0
371006,1,2024-04-24,2024-05-17,1501383,0,1279,1,USD,Delivered,14.99
371007,1,2024-10-27,2024-11-14,1378439,0,1639,1,USD,Delivered,9.99
371008,1,2025-03-21,2025-04-11,2053617,50,961,1,USD,Delivered,165.0
371010,1,2025-04-09,2025-04-11,1716584,53,2491,5,USD,Delivered,124.95
371011,1,2024-09-26,2024-10-19,776266,0,458,5,EUR,Delivered,1149.5
371012,1,2025-06-03,2025-06-10,363872,8,147,1,CAD,Delivered,2899.99
371014,1,2024-11-01,2024-11-30,1161615,40,89,4,GBP,Delivered,599.96
371015,1,2025-06-03,2025-06-12,1669745,0,1679,5,USD,Delivered,27.5
371016,1,2025-01-17,2025-02-02,879778,32,1704,2,EUR,Delivered,13.98
371017,1,2024-06-14,1900-01-01,1918687,61,2084,5,USD,Lost,474.95
371018,1,2025-06-27,2025-07-07,1041466,36,534,1,GBP,Delivered,139.0
371019,1,2025-01-06,2025-01-18,916074,41,2506,2,GBP,Delivered,9.48
372000,1,2024-09-03,2024-09-10,1413890,0,148,3,USD,Delivered,8699.97
372001,1,2024-03-28,2024-04-15,1412534,63,1286,1,USD,Delivered,77.99
372002,1,2024-03-11,2024-03-22,1718240,47,1299,7,USD,Delivered,175.0
372003,1,2025-06-29,2025-07-28,527409,19,1604,3,EUR,Delivered,779.97
372004,1,2025-11-06,2025-12-03,711449,30,922,9,EUR,Delivered,8.55
372005,1,2025-05-01,1900-01-01,302130,9,411,3,CAD,In Transit,2097.0
372006,1,2025-03-09,2025-03-25,2095742,0,125,2,USD,Delivered,286.8
372007,1,2024-08-04,2024-08-11,1982994,61,1148,4,USD,Delivered,1688.0
372008,1,2025-07-06,2025-07-19,1214363,53,183,1,USD,Delivered,109.0
372010,1,2024-07-24,2024-08-09,784075,29,90,7,EUR,Delivered,1049.93
372011,1,2025-12-31,1900-01-01,739625,29,1572,1,EUR,Shipped,57.99
372012,1,2024-11-15,2024-12-13,195521,6,468,1,AUD,Delivered,179.0
372013,1,2025-03-24,1900-01-01,1042966,38,1259,2,GBP,In Transit,79.98
372016,1,2025-06-13,2025-06-30,1170323,42,1581,2,GBP,Delivered,438.0
373000,1,2024-05-03,2024-05-19,1367439,0,2509,3,USD,Delivered,12.18
373002,1,2024-08-18,1900-01-01,1750554,48,1859,5,USD,Lost,9094.5
373003,1,2024-03-06,2024-03-09,2082534,56,67,3,USD,Delivered,77.07
373004,1,2024-12-12,2024-12-22,460587,24,1765,3,EUR,Delivered,1796.4
373005,1,2024-01-22,1900-01-01,1763365,65,342,2,USD,Lost,1198.0
373007,1,2025-07-21,2025-07-22,351747,0,103,2,CAD,Delivered,230.0
373008,1,2024-08-13,2024-08-20,536845,23,535,3,EUR,Delivered,537.0
373009,1,2025-10-08,2025-10-27,1064519,0,1589,4,GBP,Delivered,39.96
373010,1,2024-03-01,2024-03-24,538801,27,2492,6,EUR,Delivered,149.94
373011,1,2024-02-02,1900-01-01,82415,4,440,2,AUD,Lost,439.9
374000,1,2024-12-04,2024-12-17,1971983,48,737,5,USD,Delivered,795.0
374001,1,2025-11-16,2025-12-09,2050933,47,1429,1,USD,Delivered,289.0
374002,1,2024-08-07,2024-08-21,320030,8,1991,8,CAD,Delivered,1439.92
374003,1,2025-08-13,2025-09-04,1188400,38,1606,1,GBP,Delivered,159.99
374005,1,2025-04-29,2025-05-21,239647,8,1197,2,CAD,Delivered,864.0
374006,1,2024-09-05,1900-01-01,1387959,65,1622,6,USD,Lost,1314.0
374007,1,2025-04-29,2025-05-12,800548,31,1631,3,EUR,Delivered,37.98
374008,1,2025-02-20,1900-01-01,789641,29,1217,4,EUR,In Transit,2224.0
374009,1,2024-07-13,2024-08-02,728541,30,538,3,EUR,Delivered,297.0
374010,1,2024-04-06,2024-04-30,665776,12,1632,3,EUR,Delivered,53.97
374011,1,2025-04-23,1900-01-01,174622,5,1256,8,AUD,In Transit,159.92
374012,1,2024-02-25,2024-03-20,1758208,0,1280,1,USD,Delivered,14.99
374013,1,2024-04-10,2024-05-09,733080,29,533,5,EUR,Delivered,1395.0
374015,1,2024-12-13,2024-12-26,1451748,55,107,7,USD,Delivered,930.93
374016,1,2024-04-21,2024-04-27,1535357,45,9,5,USD,Delivered,299.95
374017,1,2024-09-11,2024-10-11,1558964,63,1630,1,USD,Delivered,22.89
374018,1,2024-07-15,1900-01-01,1010049,38,1615,5,GBP,Lost,1449.95
374019,1,2025-07-03,2025-07-27,193216,6,1109,3,AUD,Delivered,1308.6
375000,1,2025-04-04,2025-04-07,1084570,0,1636,1,GBP,Delivered,12.66
376000,1,2024-07-06,2024-07-11,1862500,43,69,1,USD,Delivered,25.69
376001,1,2024-10-12,1900-01-01,813685,32,131,1,EUR,Lost,200.0
376003,1,2024-09-12,2024-09-22,797322,30,425,3,EUR,Delivered,1107.0
376004,1,2024-04-10,2024-05-01,1905050,45,1635,6,USD,Delivered,137.34
376005,1,2024-02-21,2024-03-13,305321,8,1352,3,CAD,Delivered,68.97
377000,1,2024-04-05,2024-04-21,1589958,64,1625,6,USD,Delivered,1314.0
377002,1,2025-05-07,2025-06-05,1897822,50,1612,1,USD,Delivered,179.99
377003,1,2024-03-01,2024-03-15,1129200,40,1942,6,GBP,Delivered,1799.94
377004,1,2024-06-17,2024-07-02,1136143,42,460,4,GBP,Delivered,1199.6
377005,1,2024-01-03,2024-01-25,1022980,37,1634,1,GBP,Delivered,9.99
377006,1,2025-02-03,2025-02-18,934781,0,1432,1,GBP,Delivered,300.0
377007,1,2025-07-23,2025-08-13,86126,6,1665,1,AUD,Delivered,4.99
378000,1,2024-06-07,2024-06-29,1062632,37,170,1,GBP,Delivered,109.0
378001,1,2024-08-10,2024-08-22,1976355,66,2467,3,USD,Delivered,92.97
378002,1,2025-08-16,2025-09-05,1599716,45,1578,1,USD,Delivered,219.0
378003,1,2024-03-03,2024-03-14,774742,29,1609,1,EUR,Delivered,259.99
378004,1,2024-02-21,2024-03-04,368190,8,2504,1,CAD,Delivered,9.99
378005,1,2025-05-03,2025-05-26,1470803,44,137,9,USD,Delivered,4499.91
378006,1,2024-07-09,2024-07-11,917347,38,1266,7,GBP,Delivered,349.72
378007,1,2025-09-01,2025-09-02,707089,30,1582,1,EUR,Delivered,17.99
378008,1,2024-08-28,2024-09-17,1035789,39,1619,2,GBP,Delivered,119.98
378009,1,2025-02-17,2025-02-24,270736,8,336,3,CAD,Delivered,2097.0
378010,1,2024-09-09,2024-09-12,437389,19,145,3,EUR,Delivered,8699.97
379000,1,2025-08-31,2025-09-25,1171088,39,443,4,GBP,Delivered,1396.0
379001,1,2024-02-10,2024-02-25,1165542,40,1253,1,GBP,Delivered,19.99
379002,1,2025-08-01,2025-08-11,716015,0,106,2,EUR,Delivered,265.98
379004,1,2024-09-24,2024-10-22,245912,0,321,2,CAD,Delivered,658.0
379005,1,2024-07-28,1900-01-01,1104029,37,1766,4,GBP,Lost,216.0
379008,1,2024-09-28,2024-10-01,793968,30,76,3,EUR,Delivered,113.85
379009,1,2024-05-14,2024-06-12,1556602,61,375,4,USD,Delivered,2796.0
379011,1,2025-10-22,2025-11-08,1291414,48,1280,3,USD,Delivered,44.97
380000,1,2024-11-19,2024-11-25,1614172,57,1676,3,USD,Delivered,26.97
380001,1,2024-01-10,2024-01-28,1530756,66,641,3,USD,Delivered,753.0
380003,1,2025-07-30,1900-01-01,627789,17,172,3,EUR,In Transit,507.0
380004,1,2024-04-12,2024-05-01,1909649,66,1114,1,USD,Delivered,334.0
380005,1,2024-08-06,1900-01-01,770856,30,1705,2,EUR,Lost,13.76
380006,1,2024-09-28,2024-10-01,549983,27,1969,7,EUR,Delivered,22399.93
381001,1,2024-05-15,2024-06-10,780974,29,2397,3,EUR,Delivered,1907.97
381002,1,2024-03-11,2024-03-12,2042097,0,1283,1,USD,Delivered,24.99
381003,1,2024-10-18,1900-01-01,1631876,61,1619,6,USD,Lost,359.94
381004,1,2025-03-24,2025-04-07,1914255,53,960,2,USD,Delivered,296.0
381005,1,2025-12-21,1900-01-01,1803346,50,1946,10,USD,Shipped,8990.0
381006,1,2024-11-05,2024-11-21,1364334,64,1029,1,USD,Delivered,200.0
381007,1,2025-09-18,2025-10-09,1202659,48,1246,1,USD,Delivered,158.0
381008,1,2025-11-14,2025-11-21,982850,42,1707,2,GBP,Delivered,140.26
381009,1,2025-07-21,2025-08-17,1187611,42,2086,4,GBP,Delivered,3510.0
381010,1,2024-11-02,2024-11-30,1554137,66,1671,3,USD,Delivered,14.97
381011,1,2024-05-17,1900-01-01,1302333,45,450,1,USD,Lost,919.0
381012,1,2024-09-27,2024-10-01,2072376,0,1759,2,USD,Delivered,209.78
381013,1,2024-04-19,2024-05-17,1984685,0,1583,1,USD,Delivered,13.89
383000,1,2024-06-08,2024-07-07,1768548,51,1623,3,USD,Delivered,657.0
383001,1,2024-10-05,2024-11-02,1584109,61,994,1,USD,Delivered,184.5
383002,1,2024-10-15,2024-10-25,1650783,57,1145,1,USD,Delivered,566.0
383003,1,2024-12-17,2025-01-04,568160,19,959,3,EUR,Delivered,600.0
383004,1,2024-07-27,2024-08-03,1670107,59,1248,3,USD,Delivered,149.97
384000,1,2024-09-27,1900-01-01,622740,17,144,5,EUR,Lost,1499.95
384001,1,2024-09-14,2024-09-20,780674,29,301,2,EUR,Delivered,638.0
384002,1,2024-04-04,2024-04-15,1263974,43,61,2,USD,Delivered,362.0
384003,1,2025-03-09,2025-03-10,1369624,64,420,4,USD,Delivered,1999.6
384004,1,2024-10-10,2024-11-07,1316297,0,1150,2,USD,Delivered,822.0
384005,1,2024-01-04,2024-01-16,1022895,37,1597,4,GBP,Delivered,231.52
384006,1,2024-12-07,2024-12-15,247132,9,752,1,CAD,Delivered,9.5
384007,1,2024-06-14,2024-07-08,14180,6,494,3,AUD,Delivered,837.0
385000,1,2025-07-18,2025-08-11,1110691,0,1586,8,GBP,Delivered,101.28
385002,1,2025-07-28,1900-01-01,844832,31,424,2,EUR,In Transit,539.9
385003,1,2024-04-24,2024-04-30,624165,18,1928,3,EUR,Delivered,2697.0
385004,1,2024-03-18,1900-01-01,332332,8,2162,1,CAD,Lost,149.0
385005,1,2025-12-08,2026-01-04,1251726,57,2120,3,USD,Delivered,447.0
385006,1,2024-06-01,2024-06-25,724534,28,135,4,EUR,Delivered,1399.8
385007,1,2024-02-06,2024-02-08,1273837,61,1112,8,USD,Delivered,5160.0
385008,1,2025-01-13,2025-01-17,667318,16,1195,1,EUR,Delivered,655.0
385009,1,2025-08-19,2025-08-25,1720050,61,6,1,USD,Delivered,21.57
385010,1,2024-05-31,2024-06-10,483118,20,61,6,EUR,Delivered,1086.0
386000,1,2024-05-10,2024-05-23,748749,30,443,2,EUR,Delivered,698.0
386001,1,2024-02-10,1900-01-01,1912666,0,1996,2,USD,Lost,399.98
386002,1,2024-08-03,2024-08-31,1525000,43,581,3,USD,Delivered,1377.0
386003,1,2025-11-29,2025-12-19,265825,8,1646,1,CAD,Delivered,159.99
386004,1,2024-09-12,2024-09-15,2085055,45,1222,3,USD,Delivered,1293.0
386005,1,2025-11-13,2025-11-23,345812,0,1600,1,CAD,Delivered,57.88
386006,1,2024-12-28,1900-01-01,348548,10,1271,2,CAD,Lost,13.9
386008,1,2024-08-30,2024-09-11,2093929,56,313,2,USD,Delivered,538.0
386009,1,2024-01-26,2024-02-20,522652,19,1859,4,EUR,Delivered,7275.6
386010,1,2025-11-16,2025-12-01,1775819,57,155,6,USD,Delivered,2819.82
386011,1,2025-12-19,2025-12-27,541598,0,54,6,EUR,Delivered,1776.0
387000,1,2024-02-09,2024-03-06,224434,0,1729,2,CAD,Delivered,155.36
387001,1,2025-04-16,2025-04-28,2011796,51,39,5,USD,Delivered,1496.15
387002,1,2024-12-24,2025-01-07,1368025,44,429,2,USD,Delivered,1199.8
387003,1,2024-08-21,2024-09-12,368610,8,144,5,CAD,Delivered,1499.95
387004,1,2024-10-12,2024-10-19,1307296,53,709,6,USD,Delivered,696.0
387005,1,2024-10-12,2024-10-14,938399,36,1816,3,GBP,Delivered,96.0
387006,1,2025-06-05,2025-06-14,1616350,51,1576,1,USD,Delivered,12.99
387007,1,2025-02-13,2025-03-11,549936,24,1264,2,EUR,Delivered,139.98
388000,1,2024-12-05,2024-12-16,97611,5,928,6,AUD,Delivered,203.94
388001,1,2024-09-24,2024-10-07,1730210,0,1616,1,USD,Delivered,56.99
388002,1,2024-07-01,1900-01-01,962533,36,460,2,GBP,Lost,599.8
388003,1,2024-09-28,2024-10-28,205077,10,90,8,CAD,Delivered,1199.92
388004,1,2024-04-21,1900-01-01,776431,0,2104,1,EUR,Lost,257.5
388005,1,2025-03-20,2025-04-15,1893487,55,1601,4,USD,Delivered,639.96
388006,1,2024-11-17,2024-11-30,1098143,41,1393,3,GBP,Delivered,140.97
388007,1,2025-06-07,2025-06-27,1112613,42,459,4,GBP,Delivered,1079.6
388008,1,2024-04-28,2024-05-15,1170323,41,640,6,GBP,Delivered,1794.0
388009,1,2024-02-15,2024-02-29,930705,40,1585,3,GBP,Delivered,68.67
388010,1,2025-12-26,2026-01-12,1001228,39,827,4,GBP,Delivered,135.6
388011,1,2024-01-02,2024-01-10,1702898,61,454,5,USD,Delivered,1349.5
388012,1,2025-03-17,2025-03-27,2086544,50,2113,1,USD,Delivered,508.0
388013,1,2025-11-11,2025-11-21,1559552,0,1657,1,USD,Delivered,179.99
388014,1,2024-12-04,2025-01-02,1671541,57,1586,1,USD,Delivered,12.66
390000,1,2025-11-10,2025-11-27,1699570,59,1581,1,USD,Delivered,219.0
390001,1,2024-11-03,2024-11-07,1301552,51,189,2,USD,Delivered,253.8
390002,1,2024-11-30,2024-12-07,2029518,0,537,3,USD,Delivered,387.0
390003,1,2024-05-10,2024-05-24,253233,10,1635,1,CAD,Delivered,22.89
390004,1,2024-07-15,2024-08-12,1321513,48,152,2,USD,Delivered,2369.94
390005,1,2025-03-06,2025-03-21,549766,22,1558,3,EUR,Delivered,1140.0
391000,1,2025-01-23,2025-01-30,881876,32,2108,1,EUR,Delivered,508.0
391001,1,2025-09-22,2025-10-13,361945,0,1841,1,CAD,Delivered,999.0
391002,1,2025-08-05,2025-08-06,1201225,45,1636,1,USD,Delivered,12.66
391003,1,2025-02-19,2025-03-18,1427869,44,1370,1,USD,Delivered,47.44
391004,1,2024-01-01,2024-01-27,444160,19,1588,3,EUR,Delivered,41.67
391006,1,2024-10-20,2024-10-29,1885990,51,1467,1,USD,Delivered,301.0
391007,1,2025-03-16,2025-04-13,125950,6,1705,1,AUD,Delivered,6.88
392000,1,2025-09-13,1900-01-01,1302998,51,1613,3,USD,In Transit,329.97
392001,1,2024-11-25,2024-12-05,1227891,54,155,2,USD,Delivered,939.94
392002,1,2025-04-21,2025-04-26,1855347,59,430,2,USD,Delivered,539.9
392003,1,2024-08-06,2024-09-03,1471397,0,156,8,USD,Delivered,3759.76
392004,1,2025-06-07,2025-06-12,401785,0,2118,3,EUR,Delivered,1335.0
392005,1,2024-10-17,2024-11-13,1458301,48,1586,1,USD,Delivered,12.66
392006,1,2025-09-26,2025-10-11,1310403,65,149,6,USD,Delivered,7109.82
392007,1,2024-04-05,2024-04-12,1079159,41,84,5,GBP,Delivered,499.95
392008,1,2024-11-13,1900-01-01,992150,39,1659,3,GBP,Lost,779.97
392009,1,2024-08-18,2024-09-12,1724829,54,2161,3,USD,Delivered,489.0
392010,1,2024-05-30,2024-06-25,651767,18,1629,5,EUR,Delivered,49.95
393001,1,2024-03-15,2024-03-29,530451,19,2267,7,EUR,Delivered,713.93
393002,1,2025-08-12,2025-08-30,792110,28,662,9,EUR,Delivered,2124.0
393003,1,2024-07-18,2024-08-16,1188400,38,2000,2,GBP,Delivered,189.98
393004,1,2025-05-21,2025-06-09,2007813,0,415,3,USD,Delivered,978.0
393005,1,2024-09-06,2024-09-25,1112419,39,175,6,GBP,Delivered,701.4
393006,1,2024-01-06,2024-01-22,1765324,51,417,2,USD,Delivered,1198.0
393007,1,2025-03-11,1900-01-01,1206405,45,1763,1,USD,In Transit,99.75
393008,1,2025-06-14,2025-06-18,1823888,57,2038,1,USD,Delivered,199.99
393009,1,2025-04-20,2025-04-25,1765579,56,2024,1,USD,Delivered,94.99
393010,1,2024-02-21,2024-03-22,313968,0,1616,7,CAD,Delivered,398.93
394000,1,2024-09-12,2024-09-19,1736019,0,979,1,USD,Delivered,281.0
394001,1,2025-04-12,2025-04-17,186894,5,1228,5,AUD,Delivered,8100.0
394002,1,2025-11-14,1900-01-01,452923,27,1695,1,EUR,In Transit,4.98
394003,1,2025-07-26,2025-08-12,431461,27,326,2,EUR,Delivered,598.0
394004,1,2025-03-29,2025-04-17,602720,16,1417,2,EUR,Delivered,536.0
394005,1,2025-03-12,2025-04-01,1810401,65,174,4,USD,Delivered,519.6
394006,1,2025-04-01,2025-04-28,1041067,37,1802,6,GBP,Delivered,192.0
394007,1,2024-06-11,2024-07-11,1337730,63,2077,5,USD,Delivered,499.95
395000,1,2025-05-01,2025-05-03,829132,32,128,4,EUR,Delivered,573.6
395001,1,2025-04-05,2025-04-09,216550,10,2089,3,CAD,Delivered,772.5
395002,1,2025-10-14,2025-10-15,250944,8,105,3,CAD,Delivered,345.0
395003,1,2025-06-17,2025-07-09,1296866,54,2355,2,USD,Delivered,1271.98
395004,1,2024-09-01,2024-09-23,2063107,45,1291,2,USD,Delivered,733.1
395005,1,2024-03-20,2024-04-09,2082135,54,1630,5,USD,Delivered,114.45
395006,1,2024-10-19,2024-10-29,127193,5,697,2,AUD,Delivered,294.0
395007,1,2024-11-23,2024-12-07,1714451,54,1605,2,USD,Delivered,579.98
395008,1,2024-05-21,2024-05-23,1401419,61,128,2,USD,Delivered,286.8
395009,1,2024-06-03,2024-06-27,731556,29,1156,2,EUR,Delivered,3200.0
395010,1,2024-08-24,1900-01-01,1549964,55,1076,5,USD,Lost,3185.0
395011,1,2025-01-27,2025-02-17,1114319,36,1587,1,GBP,Delivered,17.99
395012,1,2025-12-24,2025-12-26,1418448,65,1784,7,USD,Delivered,301.0
395014,1,2024-03-06,2024-03-14,1178352,42,1605,10,GBP,Delivered,2899.9
397000,1,2025-02-28,2025-03-02,1677739,55,1649,9,USD,Delivered,2339.91
397001,1,2025-02-21,2025-03-03,1140654,37,1458,6,GBP,Delivered,1200.0
397002,1,2025-07-09,2025-08-06,1348253,0,1607,2,USD,Delivered,359.98
397003,1,2024-03-04,1900-01-01,760816,29,955,1,EUR,Lost,196.9
397004,1,2025-02-02,1900-01-01,1866421,0,123,2,USD,In Transit,559.98
397005,1,2024-01-21,2024-01-30,1650783,64,1192,10,USD,Delivered,6000.0
398000,1,2025-02-03,2025-03-01,1110229,42,1799,1,GBP,Delivered,26.0
398001,1,2025-03-05,2025-03-28,130214,5,1588,7,AUD,Delivered,97.23
398002,1,2024-08-13,2024-08-17,1822089,44,160,4,USD,Delivered,4399.96
398003,1,2024-08-12,2024-09-09,1355155,51,31,1,USD,Delivered,255.0
398004,1,2025-05-12,2025-05-19,1001493,36,70,2,GBP,Delivered,95.9
398005,1,2025-11-15,2025-11-23,1761462,63,1642,5,USD,Delivered,289.4
398006,1,2025-04-23,2025-05-23,857287,34,1274,1,EUR,Delivered,52.13
398007,1,2025-07-31,2025-08-04,1042883,42,445,5,GBP,Delivered,2795.0
399000,1,2024-01-28,2024-02-26,1887449,64,1633,5,USD,Delivered,69.45
399001,1,2024-03-26,2024-03-30,687377,12,1781,10,EUR,Delivered,430.0
399002,1,2025-10-20,2025-10-24,1476450,51,2054,2,USD,Delivered,189.98
399003,1,2025-03-14,2025-04-13,1232687,59,1631,5,USD,Delivered,63.3
399004,1,2025-01-23,2025-02-13,822698,0,1058,3,EUR,Delivered,936.0
399006,1,2024-12-01,2024-12-25,1363203,65,361,7,USD,Delivered,2723.0
399007,1,2024-08-04,2024-08-25,1191228,38,1576,1,GBP,Delivered,12.99
399009,1,2024-11-30,2024-12-20,784001,28,735,5,EUR,Delivered,1045.0
399010,1,2025-01-23,2025-02-11,906625,36,1516,1,GBP,Delivered,288.0
400000,1,2024-01-20,2024-02-09,1883755,61,138,2,USD,Delivered,999.98
400001,1,2024-02-23,2024-02-27,264640,8,2037,1,CAD,Delivered,665.94
400002,1,2024-08-17,2024-09-06,363872,9,54,1,CAD,Delivered,296.0
400003,1,2024-02-11,2024-03-02,446883,27,164,8,EUR,Delivered,12737.6
400004,1,2024-07-23,2024-07-25,106880,5,1426,10,AUD,Delivered,5890.0
400005,1,2024-09-01,1900-01-01,2065817,65,1913,9,USD,Lost,2519.91
400006,1,2024-05-09,2024-05-17,1996959,0,1284,3,USD,Delivered,74.97
400007,1,2025-04-29,2025-05-12,1987941,63,152,5,USD,Delivered,5924.85
400009,1,2025-07-31,2025-08-16,1310047,45,1746,2,USD,Delivered,218.0
400010,1,2024-08-11,1900-01-01,606808,0,1746,8,EUR,Lost,872.0
400011,1,2024-09-19,2024-10-03,1122248,37,458,2,GBP,Delivered,459.8
401002,1,2025-01-12,2025-01-23,1787415,48,1583,2,USD,Delivered,27.78
401003,1,2024-04-27,2024-04-28,376977,8,34,2,CAD,Delivered,191.9
401004,1,2024-06-16,2024-07-16,1565847,47,667,6,USD,Delivered,1140.0
401005,1,2024-11-14,2024-12-11,953489,41,2044,7,GBP,Delivered,1399.93
